dc_arxiv_names,oecd_names
Social and Behavioral Sciences: Psychology: Personality and Social Contexts,5.1 Psychology
Social and Behavioral Sciences: Psychology: Quantitative Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: School Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Social Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Somatic Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Theory and Philosophy,5.1 Psychology
Social and Behavioral Sciences: Psychology: Transpersonal Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Other Psychology,5.1 Psychology
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Defense and",5.6 Political Science
Security Studies,5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Economic Policy",5.2 Economics and business
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Education Policy",5.3 Educational sciences
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Emergency and Distaster Management",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Energy Policy",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Environmental Policy",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Fire Science and Firefighting",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Health Policy",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Infrastructure",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Military and Veterans Studies",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Peace and Conflict",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Policy Design, Analysis, and Evaluation",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Policy History, Theory, and Methods",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Public Administration",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Public Affairs",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Public Policy",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Recreation, Parks and Tourism Administration",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Science and Technology Policy",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Social Policy",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Social Welfare",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Terrorism Studies",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Transportation",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Urban Studies",5.6 Political Science
"Social and Behavioral Sciences: Public Affairs, Public Policy and Public Administration: Other Public Affairs, Public Policy and Public Administration",5.6 Political Science
Social and Behavioral Sciences: Science and Technology Studies,5.4 Sociology
Social and Behavioral Sciences: Social Justice,5.4 Sociology
Social and Behavioral Sciences: Social Statistics,5.4 Sociology
Social and Behavioral Sciences: Social Work,5.4 Sociology
Social and Behavioral Sciences: Sociology,5.4 Sociology
Social and Behavioral Sciences: Sociology: Civic and Community Engagement,5.4 Sociology
Social and Behavioral Sciences: Sociology: Community-Based Learning,5.4 Sociology
Social and Behavioral Sciences: Sociology: Community-Based Research,5.4 Sociology
Social and Behavioral Sciences: Sociology: Criminology,5.4 Sociology
"Social and Behavioral Sciences: Sociology: Demography, Population, and Ecology",5.4 Sociology
Social and Behavioral Sciences: Sociology: Domestic and Intimate Partner Violence,5.4 Sociology
Social and Behavioral Sciences: Sociology: Educational Sociology,5.4 Sociology
"Social and Behavioral Sciences: Sociology: Family, Life Course, and Society",5.4 Sociology
Social and Behavioral Sciences: Sociology: Gender and Sexuality,5.4 Sociology
Social and Behavioral Sciences: Sociology: Gerontology,5.4 Sociology
Social and Behavioral Sciences: Sociology: Human Ecology,5.4 Sociology
Social and Behavioral Sciences: Sociology: Inequality and Stratification,5.4 Sociology
Social and Behavioral Sciences: Sociology: Medicine and Health,5.4 Sociology
Social and Behavioral Sciences: Sociology: Migration Studies,5.4 Sociology
Social and Behavioral Sciences: Sociology: Place and Environment,5.4 Sociology
Social and Behavioral Sciences: Sociology: Politics and Social Change,5.4 Sociology
"Social and Behavioral Sciences: Sociology: Quantitative, Qualitative, Comparative, and Historical Methodologies",5.4 Sociology
Social and Behavioral Sciences: Sociology: Race and Ethnicity,5.4 Sociology
Social and Behavioral Sciences: Sociology: Regional Sociology,5.4 Sociology
Social and Behavioral Sciences: Sociology: Rural Sociology,5.4 Sociology
Social and Behavioral Sciences: Sociology: Service Learning,5.4 Sociology
"Social and Behavioral Sciences: Sociology: Social Control, Law, Crime, and Deviance",5.4 Sociology
Social and Behavioral Sciences: Sociology: Social Psychology and Interaction,5.4 Sociology
Social and Behavioral Sciences: Sociology: Sociology of Culture,5.4 Sociology
Social and Behavioral Sciences: Sociology: Sociology of Religion,5.4 Sociology
"Social and Behavioral Sciences: Sociology: Theory, Knowledge and Science",5.4 Sociology
Social and Behavioral Sciences: Sociology: Tourism,5.4 Sociology
"Social and Behavioral Sciences: Sociology: Work, Economy and Organizations",5.4 Sociology
Social and Behavioral Sciences: Sociology: Other Sociology,5.4 Sociology
Social and Behavioral Sciences: Sports Studies,5.4 Sociology
Social and Behavioral Sciences: Urban Studies and Planning,5.4 Sociology
Social and Behavioral Sciences: Other Social and Behavioral Sciences,5.4 Sociology
Computer Science,1.2 Computer and information sciences
Economics,5.2 Economics and business
Electrical Engineering and Systems Science,2.2 Electrical engineering; electronic engineering; information engineering
Mathematics,1.1 Mathematics
Physics,1.3 Physical sciences
Quantitative Finance,5.2 Economics and business
Statistics,1.1 Mathematics
Quantitative Finance,5.2 Economics and business
Quantitative Biology,1.6 Biological sciences
